Name: 10novembre2003

AbsorbingValKa: 2
AbsorbingValKi: 40
AbsorbingValMax: 1
AbsorbingValMin: 0
AbsorbingValRest: 0.25
AbsorbTension: 5
AccelCurve: (-200, 2) (-100, 20) (0, 60) (25, 35) (50, 25) (75, 20) (100, 8) (125, 6) (200, 4) (400, 2)
AccelCurveRearGear: null
AirControlDuration: 30000
AirControlZCoefFromAngularSpeed: null
AngularFluidFrictionCoef1: 2
AngularFluidFrictionCoef2: 1
AngularSpeedClamp: 20
AngularSpeedYImpulseScale: 0.8
AxialSlopeAdherenceMax: 0.7
AxialSlopeAdherenceMin: 0.4
BodyFrictionCoef: 0.3
BodyFrictionCoef_Metal: 0.2
BodyRestCoef: -0.5
BodyRestCoef_Metal: -0.5
BrakeBase: 100
BrakeCoef: 0
BrakeCoolingSpeed: 0
BrakeHeatSpeedFromFBrake: null
BrakeMax: 50
BrakeMaxDynamic: 50
CMAftForce: 0
CMDownUp: 0.45
DebugAbsorbCoef: 0.2
DecrepitudeCoef: 0.2
DecrepitudeImpactVal: 25
DisplaySteerRadiusCoef: 0.01
DisplaySteerRadiusMin: 2
EngineAutoGearMaxRPMs: null
EngineAutoGearMinRPMs: null
EngineGearRatios: null
GravityCoef: 3
GravityCoefAir: 4
GroundSlowDownBase: 1
GroundSlowDownCoef: 0
InertiaHalfDiag: <0.5, 0.5, 0.5>
InertiaMass: 5
IsFakeEngine: True
LateralContactSlowDown: (0, 0.8) (100, 0.8) (200, 0.8) (300, 0.8)
LateralSlopeAdherenceMax: 0.7
LateralSlopeAdherenceMin: 0.3
LimitToMaxSpeedForce: 10
LinearFluidFrictionCoef: 0
LinearSpeed2PositiveDeltaMax: 10000
M4LateralFrictionForce: 0
M4LateralFrictionSquareForce: 0
M4LateralFrictionSquareTorque: 0
M4LateralFrictionTorque: 0
M4LeaveSlippingSpeed: 0
M4MaxFrictionForceFromSpeed: null
M4MaxFrictionForceWhenSlipping: 0
M4MaxFrictionTorqueFromSpeed: null
M4MaxFrictionTorqueWhenSlippingCoef: 0
M4SlipAngleSpeed: 0
M4SteerAngleWhenSlippingMax: 0
M4SteerRadiusCoefFromSlipAngle: 0
M4SteerRadiusFromSpeed: null
M4SteerRadiusWhenSlippingCoef: 0
M5AccelSlipCoefMax: 0
M5KeepNoSteerSlowDownWhenSlippingDuration: 0
M5KeepSlidingAccelDuration: 0
M5KeepSteerSlowDownDurarion: 0
M5LateralConstantSlowDownDuration: 0
M5MaxAxialRolloverTorque: 0
M5SlippingAccelCurve: null
M5SmoothInputSteerDurationFromSpeed: null
M5SteerCoefFromSpeed: null
M6AfterBurnoutAccMod: 0
M6AfterBurnoutDuration: 0
M6AfterBurnoutImpulse: 0
M6AirRpmAcc: 0
M6AirRpmDeadening: 0
M6BrakeMaxDynamicRear: 0
M6BrakeMaxRear: 0
M6BrakeModulationWhenSlipping: 0
M6BrakeSmokeIntensity: 0
M6BurnoutAccMod: 0
M6BurnoutCenterForceCoeff: 0
M6BurnoutCenterForceCoeff2: 0
M6BurnoutDuration: 0
M6BurnoutFricMod: 0
M6BurnoutLateralSpeed: null
M6BurnoutLateralSpeedCoeff: 0
M6BurnoutLateralSpeedMax: 0
M6BurnoutRadius: null
M6BurnoutRadiusMax: 0
M6BurnoutRolloverFromSpeed: null
M6BurnoutRpmAcc: 0
M6BurnoutSmokeIntensity: 0
M6BurnoutSmokeVelocity: 0
M6BurnoutSteerCoeff: 0
M6BurnoutSteerCoeff2: 0
M6BurnoutSteerCoeff3: 0
M6BurnoutWheelAngularRotation: 0
M6DonutRolloverFromSpeed: null
M6ForceEpsilon: 0
M6FrictionModulationWhenSlipNBrake: 0
M6GearRatio: null
M6InertialMass: 0
M6InertialTorqueModualtionX: 0
M6InertialTorqueModulationZ: 0
M6MaxDiffBtwGroundNormal: 0
M6MaxDiffBtwnPropulsionAndSpeed: 0
M6MaxNegAngle4Burnout: 0
M6MaxPosAngle4Burnout: 0
M6MaxRpm: 0
M6MaxRPM: null
M6MaxSpeed4Burnout: 0
M6MinRPM: null
M6MinSpeed4Burnout: 0
M6RolloverLateralFromSpeedRatio: null
M6RpmGainCoefOnGearDown: 0
M6RpmGainOnTakeOff: 0
M6RpmLossCoefOnGearUp: 0
M6RpmLossOnTakeOffFinished: 0
M6RpmWantedOnGearUp: null
M6SpeedLimitNegForTakeOffFront: 0
M6SpeedLimitNegTakeOffRear: 0
M6SpeedLimitPositiveForTakeOffFront: 0
M6SpeedLimitPositiveForTakeOffRear: 0
Mass: 1
MaxAngularSpeedYAirControl: 3.141593
MaxSideFriction: (0, 25) (75, 25) (125, 25) (200, 25) (400, 25)
MaxSideFrictionBlendCoef: 0
MaxSideFrictionSliding: 0.7
MaxSpeed: 416.6667
ModulationFromWheelCompression: null
NoSteerSlowDownWhenSlipping: False
RelSpeedMultCoef: 0.2
ReverseMaxSpeed: 277.7778
RolloverAxial: 0
RolloverLateral: (0, 0.1) (100, 0.15) (200, 0.2) (300, 0.25)
RolloverLateralFromAngle: (0, 1)
RubberBallElasticity: 1
ShockModel: Demo03
SideFriction1: 40
SideFriction2: 0
