Name: 2novembre2003

AbsorbingValKa: 2
AbsorbingValKi: 40
AbsorbingValMax: 1
AbsorbingValMin: 0
AbsorbingValRest: 0.25
AbsorbTension: 0
AccelCurve: null
AccelCurveRearGear: null
AirControlDuration: 0
AirControlZCoefFromAngularSpeed: null
AngularFluidFrictionCoef1: 2
AngularFluidFrictionCoef2: 1
AngularSpeedClamp: 20
AngularSpeedYImpulseScale: 0.8
AxialSlopeAdherenceMax: 0.7
AxialSlopeAdherenceMin: 0.4
BodyFrictionCoef: 0
BodyFrictionCoef_Metal: 0
BodyRestCoef: 0
BodyRestCoef_Metal: 0
BrakeBase: 100
BrakeCoef: 0
BrakeCoolingSpeed: 0
BrakeHeatSpeedFromFBrake: null
BrakeMax: 0
BrakeMaxDynamic: 0
CMAftForce: 0
CMDownUp: 0.45
DebugAbsorbCoef: 0
DecrepitudeCoef: 0
DecrepitudeImpactVal: 0
DisplaySteerRadiusCoef: 0
DisplaySteerRadiusMin: 0
EngineAutoGearMaxRPMs: [0, 0.8125, 0.8125, 0.8125, 0.8125, 1]
EngineAutoGearMinRPMs: [0, 0, 0.375, 0.53125, 0.5625, 0.625]
EngineGearRatios: [4, 2, 1, 0.8, 0.5, 0.3]
GravityCoef: 3
GravityCoefAir: 4
GroundSlowDownBase: 0
GroundSlowDownCoef: 0
InertiaHalfDiag: <0.5, 0.5, 0.5>
InertiaMass: 5
IsFakeEngine: False
LateralContactSlowDown: null
LateralSlopeAdherenceMax: 0.7
LateralSlopeAdherenceMin: 0.3
LimitToMaxSpeedForce: 10
LinearFluidFrictionCoef: 0
LinearSpeed2PositiveDeltaMax: 10000
M4LateralFrictionForce: 0
M4LateralFrictionSquareForce: 0
M4LateralFrictionSquareTorque: 0
M4LateralFrictionTorque: 0
M4LeaveSlippingSpeed: 1
M4MaxFrictionForceFromSpeed: null
M4MaxFrictionForceWhenSlipping: 0
M4MaxFrictionTorqueFromSpeed: null
M4MaxFrictionTorqueWhenSlippingCoef: 0
M4SlipAngleSpeed: 0.005
M4SteerAngleWhenSlippingMax: 0.785398
M4SteerRadiusCoefFromSlipAngle: 0.3
M4SteerRadiusFromSpeed: null
M4SteerRadiusWhenSlippingCoef: 0
M5AccelSlipCoefMax: 1
M5KeepNoSteerSlowDownWhenSlippingDuration: 0
M5KeepSlidingAccelDuration: 0
M5KeepSteerSlowDownDurarion: 1
M5LateralConstantSlowDownDuration: 500
M5MaxAxialRolloverTorque: 20
M5SlippingAccelCurve: null
M5SmoothInputSteerDurationFromSpeed: null
M5SteerCoefFromSpeed: null
M6AfterBurnoutAccMod: 0
M6AfterBurnoutDuration: 0
M6AfterBurnoutImpulse: 0
M6AirRpmAcc: 5000
M6AirRpmDeadening: 2500
M6BrakeMaxDynamicRear: 50
M6BrakeMaxRear: 100
M6BrakeModulationWhenSlipping: 0
M6BrakeSmokeIntensity: 0
M6BurnoutAccMod: 0
M6BurnoutCenterForceCoeff: 0
M6BurnoutCenterForceCoeff2: 0.2
M6BurnoutDuration: 0
M6BurnoutFricMod: 0.01
M6BurnoutLateralSpeed: null
M6BurnoutLateralSpeedCoeff: 0
M6BurnoutLateralSpeedMax: 0
M6BurnoutRadius: null
M6BurnoutRadiusMax: 0
M6BurnoutRolloverFromSpeed: null
M6BurnoutRpmAcc: 5000
M6BurnoutSmokeIntensity: 0
M6BurnoutSmokeVelocity: 0
M6BurnoutSteerCoeff: 0
M6BurnoutSteerCoeff2: 0
M6BurnoutSteerCoeff3: 0
M6BurnoutWheelAngularRotation: 0
M6DonutRolloverFromSpeed: null
M6ForceEpsilon: 0.01
M6FrictionModulationWhenSlipNBrake: 0
M6GearRatio: null
M6InertialMass: 0
M6InertialTorqueModualtionX: 0.1
M6InertialTorqueModulationZ: 0.1
M6MaxDiffBtwGroundNormal: 0
M6MaxDiffBtwnPropulsionAndSpeed: 0
M6MaxNegAngle4Burnout: 0
M6MaxPosAngle4Burnout: 0
M6MaxRpm: 0
M6MaxRPM: null
M6MaxSpeed4Burnout: 0
M6MinRPM: null
M6MinSpeed4Burnout: 0
M6RolloverLateralFromSpeedRatio: null
M6RpmGainCoefOnGearDown: 0
M6RpmGainOnTakeOff: 0
M6RpmLossCoefOnGearUp: 0
M6RpmLossOnTakeOffFinished: 0
M6RpmWantedOnGearUp: null
M6SpeedLimitNegForTakeOffFront: 0
M6SpeedLimitNegTakeOffRear: 0
M6SpeedLimitPositiveForTakeOffFront: 0
M6SpeedLimitPositiveForTakeOffRear: 0
Mass: 1
MaxAngularSpeedYAirControl: 0
MaxSideFriction: null
MaxSideFrictionBlendCoef: 0
MaxSideFrictionSliding: 0
MaxSpeed: 416.6667
ModulationFromWheelCompression: null
NoSteerSlowDownWhenSlipping: False
RelSpeedMultCoef: 0
ReverseMaxSpeed: 0
RolloverAxial: 0
RolloverLateral: null
RolloverLateralFromAngle: null
RubberBallElasticity: 0
ShockModel: Demo03
SideFriction1: 0
SideFriction2: 0
SlipAngleForceCoef1: 10
SlipAngleForceCoef2: 0.01
SlipAngleForceMax: 0.087266
SlopeSpeedGainLimit: 0
SoundBodyImpact_Hard_Threshold: 0
